Reference,Value,Datasheet,Footprint,Qty,partnum
"C1,C4,C5,C6,C9,C10,C11,C12,C15",10nF,~,Capacitor_SMD:C_0402_1005Metric,9,C60133
"C2,C3,C7,C8",32pF,~,Capacitor_SMD:C_0402_1005Metric,4,C466228
"C13,C14",0.1uf,~,Capacitor_SMD:C_0402_1005Metric,2,C6119867
"C121,C131",3.9pF,~,Capacitor_SMD:C_0402_1005Metric,2,C41361089
C122,8.2pF,~,Capacitor_SMD:C_0402_1005Metric,1,C41361101
C123,5.6pF,~,Capacitor_SMD:C_0402_1005Metric,1,C41361095
"C124,C125",220pF,~,Capacitor_SMD:C_0402_1005Metric,2,C7503514
"D1,D2,D3,D4",LED,~,LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,4,
J10,USB_C_Receptacle_USB2.0_16P,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,Connector_USB:USB_C_Receptacle_Palconn_UTC16-G,1,C2927039
"L121,L123,L131",27nH,~,Inductor_SMD:L_0402_1005Metric,3,C391309
L122,22nH,~,Inductor_SMD:L_0402_1005Metric,1,C395059
Q2,AO3401A,http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf,Package_TO_SOT_SMD:SOT-23,1,C5380686
"R1,R10",56k,~,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,2,C295859
"SW1,SW2",SW_Push,~,custom:SW_5.6_3.1,2,C2888428
U1,TP4056,,lib:SOP127P600X175-9N,1,C22451416
U2,CC1101RTK,1555264,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,C29953
"U4,U6",AP2127R-3.3,https://www.diodes.com/assets/Datasheets/AP2127.pdf,Package_TO_SOT_SMD:SOT-89-3,2,C156285
U5,STM32L053R8Tx,https://www.st.com/resource/en/datasheet/stm32l053r8.pdf,Package_QFP:LQFP-64_10x10mm_P0.5mm,1,C79207
"Y1,Y2",XTM32027000QT00351001,~,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,C37635382

